Commit Hash,Commit Message,Commit Date,Author,Test File,Implementation File,Type
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,AsyncTest.java,Async.java,Not TDD
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,ClientTest.java,Client.java,Not TDD
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,CreateHammerTest.java,CreateHammer.java,Not TDD
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,OOMTest.java,OOM.java,Not TDD
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,QuorumTest.java,Quorum.java,Not TDD
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,RecoveryTest.java,Recovery.java,Not TDD
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,SessionTest.java,Session.java,Not TDD
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,ZooKeeperTestClient.java,ZooKeeperClient.java,Not TDD
a1c481ceca909e32ec49ff9738b5355eb1c367a7,"removed Create Hammer Test from ant test and added TestHammer which will not be a part of ant test

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670803 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 19:47:39,,TestHammer.java,Hammer.java,Not TDD
e655cad3c57b98be9ccd5645a712ff5a57dc0480,"[ 1835834 ] trivial warnings patch



git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670840 13f79535-47bb-0310-9956-ffa450edef68",2007-11-29 18:24:51,Benjamin Reed,AsyncTest.java,Async.java,Not TDD
e655cad3c57b98be9ccd5645a712ff5a57dc0480,"[ 1835834 ] trivial warnings patch



git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670840 13f79535-47bb-0310-9956-ffa450edef68",2007-11-29 18:24:51,Benjamin Reed,TestHammer.java,Hammer.java,Not TDD
b1dcfbc2c4f7c43691627151dd04e0b49c2b5b49,"checking in a fix for the tests to use seperate directories

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670852 13f79535-47bb-0310-9956-ffa450edef68",2007-12-08 01:13:51,,QuorumTest.java,Quorum.java,Not TDD
551012dac1494b57e829bcbd9bafb51b280a03fa,"checking in a test for session reusuability in the client library

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670856 13f79535-47bb-0310-9956-ffa450edef68",2007-12-10 22:40:04,,SessionTest.java,Session.java,Not TDD
62d5b08a2593c0ca772714cef7e933786208281f,"zookeeper unit test suite.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670864 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 01:08:47,Andrew Kornev,TestDriver.cc,Driver.cc,Not TDD
62d5b08a2593c0ca772714cef7e933786208281f,"zookeeper unit test suite.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670864 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 01:08:47,Andrew Kornev,TestOperations.cc,Operations.cc,Not TDD
62d5b08a2593c0ca772714cef7e933786208281f,"zookeeper unit test suite.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670864 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 01:08:47,Andrew Kornev,TestZookeeperClose.cc,ZookeeperClose.cc,Not TDD
62d5b08a2593c0ca772714cef7e933786208281f,"zookeeper unit test suite.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670864 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 01:08:47,Andrew Kornev,TestZookeeperInit.cc,ZookeeperInit.cc,Not TDD
5a0a451b8069ef4e8bed9031f1f06ba1d0ed904d,"Added copyright header

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670870 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 20:04:53,Andrew Kornev,TestDriver.cc,Driver.cc,Not TDD
5a0a451b8069ef4e8bed9031f1f06ba1d0ed904d,"Added copyright header

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670870 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 20:04:53,Andrew Kornev,TestOperations.cc,Operations.cc,Not TDD
5a0a451b8069ef4e8bed9031f1f06ba1d0ed904d,"Added copyright header

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670870 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 20:04:53,Andrew Kornev,TestZookeeperClose.cc,ZookeeperClose.cc,Not TDD
5a0a451b8069ef4e8bed9031f1f06ba1d0ed904d,"Added copyright header

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670870 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 20:04:53,Andrew Kornev,TestZookeeperInit.cc,ZookeeperInit.cc,Not TDD
2474f37a0f2d5ceff68d6ca19d4d93fddb3995a1,"Added a mock for poll(); added a test for zk operations with concurrent disconnect.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670874 13f79535-47bb-0310-9956-ffa450edef68",2008-01-16 18:37:44,Andrew Kornev,TestOperations.cc,Operations.cc,Not TDD
2474f37a0f2d5ceff68d6ca19d4d93fddb3995a1,"Added a mock for poll(); added a test for zk operations with concurrent disconnect.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670874 13f79535-47bb-0310-9956-ffa450edef68",2008-01-16 18:37:44,Andrew Kornev,TestZookeeperClose.cc,ZookeeperClose.cc,Not TDD
a6d0a388682ae93fdee7e6c30143c60ad82ebcbb,"Refactored utility classes; added unit tests; removed an SVN property (eol-style)

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670878 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 00:37:29,Andrew Kornev,TestDriver.cc,Driver.cc,Not TDD
a6d0a388682ae93fdee7e6c30143c60ad82ebcbb,"Refactored utility classes; added unit tests; removed an SVN property (eol-style)

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670878 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 00:37:29,Andrew Kornev,TestOperations.cc,Operations.cc,Not TDD
a6d0a388682ae93fdee7e6c30143c60ad82ebcbb,"Refactored utility classes; added unit tests; removed an SVN property (eol-style)

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670878 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 00:37:29,Andrew Kornev,TestZookeeperClose.cc,ZookeeperClose.cc,Not TDD
a6d0a388682ae93fdee7e6c30143c60ad82ebcbb,"Refactored utility classes; added unit tests; removed an SVN property (eol-style)

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670878 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 00:37:29,Andrew Kornev,TestZookeeperInit.cc,ZookeeperInit.cc,Not TDD
911e7a8c6e6d1db1cd35ab7e809d4750a6a8b760,"Fixed gcc-2.95 compiler compatibility issues; updated README and ChangeLog

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670880 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 21:25:25,Andrew Kornev,TestOperations.cc,Operations.cc,Not TDD
911e7a8c6e6d1db1cd35ab7e809d4750a6a8b760,"Fixed gcc-2.95 compiler compatibility issues; updated README and ChangeLog

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670880 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 21:25:25,Andrew Kornev,TestZookeeperInit.cc,ZookeeperInit.cc,Not TDD
1153591dea3c1ca8c19e6f353dd10551c68c11c1,"fixed session ids to always be in hex

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670886 13f79535-47bb-0310-9956-ffa450edef68",2008-01-30 18:43:29,,AsyncTest.java,Async.java,Not TDD
480cf1a3a180ac9a6125b8f82e8f04dfbc094554,"New tests

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670890 13f79535-47bb-0310-9956-ffa450edef68",2008-02-07 21:29:28,Andrew Kornev,TestDriver.cc,Driver.cc,Not TDD
480cf1a3a180ac9a6125b8f82e8f04dfbc094554,"New tests

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670890 13f79535-47bb-0310-9956-ffa450edef68",2008-02-07 21:29:28,Andrew Kornev,TestOperations.cc,Operations.cc,Not TDD
480cf1a3a180ac9a6125b8f82e8f04dfbc094554,"New tests

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670890 13f79535-47bb-0310-9956-ffa450edef68",2008-02-07 21:29:28,Andrew Kornev,TestZookeeperClose.cc,ZookeeperClose.cc,Not TDD
480cf1a3a180ac9a6125b8f82e8f04dfbc094554,"New tests

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670890 13f79535-47bb-0310-9956-ffa450edef68",2008-02-07 21:29:28,Andrew Kornev,TestZookeeperInit.cc,ZookeeperInit.cc,Not TDD
ebcb21f448d92c19e025279f3c27bbdb2fc75af5,"making the tests to compile since e thsignatrue for QuorumPeer changes.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670904 13f79535-47bb-0310-9956-ffa450edef68",2008-03-11 18:30:02,,QuorumTest.java,Quorum.java,Not TDD
