Commit Hash,Commit Message,Commit Date,Author,Commit Type
642da2f28c9bc6e373603d6d9119ce33684090f5,"Initial checkin of Kafka to Apache SVN. This corresponds to https://github.com/kafka-dev/kafka/commit/709afe4ec75489bc00a44335de8821fa726bb97e except that git specific files have been removed and code has been put into trunk/branches/site/etc. This is just a copy of master, branches and history are not being converted since we can't find a good tool for it.



git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1152970 13f79535-47bb-0310-9956-ffa450edef68",2011-08-01 23:41:24,Edward Jay Kreps,Mixed
96b8e03dd1ee23a550ca87803777b4d7bec05d5a,"commit offset before consumer shutdown KAFKA-84; rename util.StringSerializer to ZKStringSerializer to avoid confusion with producer.StringSerializer

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1154719 13f79535-47bb-0310-9956-ffa450edef68",2011-08-07 16:29:55,Jun Rao,Mixed
462dfda513d98a0017564f5070f678d57f834872,"KAFKA-93 | Change and add ASF source header to follow standard ASF source header (http://www.apache.org/legal/src-headers.html).

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1156232 13f79535-47bb-0310-9956-ffa450edef68",2011-08-10 15:33:21,Henry Saputra,Mixed
d0c980dab278627286e9a2be649de0f6c8ce8b53,"KAFKA-93 | add license to missed files and remove LinkedIn copyright line per ASF guideline. Thanks to Joel Koshy for pointing it out

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1156299 13f79535-47bb-0310-9956-ffa450edef68",2011-08-10 18:32:09,Henry Saputra,Not TDD
49f3b4017918c4e254e9bc09e2ef5178d62e0248,"auto-discovery of topics for mirroring; patched by Joel; reviewed by Jun; KAFKA-74

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1156393 13f79535-47bb-0310-9956-ffa450edef68",2011-08-10 22:32:23,Jun Rao,Not TDD
82b42163a55440eee6508ff4a721906bc40704e8,"change whitelist config for mirroring; patched by Joel; KAFKA-103

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1158969 13f79535-47bb-0310-9956-ffa450edef68",2011-08-17 23:34:08,Jun Rao,Not TDD
8a07bdb71e74377d7b8ae3c53fe1e59f46bbe2a8,"Bug in serialize and collate logic in the DefaultEventHandler KAFKA-107; patched by Neha; reviewed by Jun

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1159452 13f79535-47bb-0310-9956-ffa450edef68",2011-08-19 00:29:09,Neha Narkhede,Not TDD
900496eedabd7acfdeaaf077239228f4d94312e8,"CompressionUtils introduces a GZIP header while compressing empty message sets KAFKA-109; patched by Neha; reviewed by Jun

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1159459 13f79535-47bb-0310-9956-ffa450edef68",2011-08-19 00:47:34,Neha Narkhede,Not TDD
4a688c5d6c87aa8dfffdb2154ef880107176573f,"KAFKA-99 Enforce a max request size in socket server to avoid running out of memory with very large requests.



git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1159837 13f79535-47bb-0310-9956-ffa450edef68",2011-08-20 04:08:06,Edward Jay Kreps,Mixed
4cdc982e22870f0e4d993d479036a3571ad3a2bc,"Producer performance tool should use the new blocking async producer instead of the sleep timeout hack; KAFKA-118; patched by nehanarkhede; reviewed by junrao

git-svn-id: https://svn.apache.org/repos/asf/incubator/kafka/trunk@1160947 13f79535-47bb-0310-9956-ffa450edef68",2011-08-24 00:50:28,Neha Narkhede,Not TDD
