Commit Hash,Commit Message,Commit Date,Type,TDD Approach,Author,Files Modified
7d48592dd283b3bbbf2949cd84b70671e6c3fe0e,Initial commit,2024-11-12 20:41:40,Code-Only,No,Andrei Constantin,1
f0df8153c42d888cc9b3130424f788f5e86879d4,Create README.md,2024-11-12 20:42:32,Code-Only,No,Andrei Constantin,1
a0b2b1243d17dc46f0b30593c40b034e9bf7d33f,Update README.md,2024-11-12 20:42:43,Code-Only,No,Andrei Constantin,1
6cad037b2c804cd8260e17ff3946e00046f48d74,Added txt file with link to shared google doc,2024-12-02 17:24:43,Code-Only,No,malmousawi,1
4a9e9742a25d2c547f29146f3abbcc7bb9ef5f08,Create test.py,2024-12-05 13:51:53,Test-Only,No,Nishil Amin,1
b16cf5e354613dc4d1b5aab30558a62760abb1b4,"Update test.py

First testing of pydriller",2024-12-05 14:00:14,Test-Only,No,abhaya-ghimire11,1
eccc054a548b525fa8ad1f060703699fd7d09724,Update test.py,2024-12-05 14:01:31,Test-Only,No,abhaya-ghimire11,1
da507af72856aaf0a6d6d981e9970ba29fa960d7,Added date for the commits,2024-12-05 14:51:21,Mixed,Yes,Abhaya,2
fb9cc0bb44024e6f08b27bcc545d1a6023cb61c2,Add files via upload,2024-12-05 15:16:00,Code-Only,No,Nishil Amin,1
d6b9149873ab95396d5487b9dc5ce30529e0f66d,Added scripts to determine if a commit follows TDD via a simple strategy,2024-12-05 21:26:48,Code-Only,No,malmousawi,6
c524de84efcea31dad8ea4c80637362401bdd669,commit main.py,2024-12-07 15:24:22,Code-Only,No,Nishil,1
6aa77b8c0837b25e46d09fe114ad94d0dd783c6b,commit main.py,2024-12-07 15:25:00,Code-Only,No,Nishil,1
