Commit Hash,Commit Message,Commit Date,Author,Commit Type
2cc64f54fdf857437ac7325639afdb67bbfb0388,"Added test cases


git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670799 13f79535-47bb-0310-9956-ffa450edef68",2007-11-09 00:36:20,Benjamin Reed,Not TDD
e655cad3c57b98be9ccd5645a712ff5a57dc0480,"[ 1835834 ] trivial warnings patch



git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670840 13f79535-47bb-0310-9956-ffa450edef68",2007-11-29 18:24:51,Benjamin Reed,Not TDD
62d5b08a2593c0ca772714cef7e933786208281f,"zookeeper unit test suite.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670864 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 01:08:47,Andrew Kornev,Not TDD
5a0a451b8069ef4e8bed9031f1f06ba1d0ed904d,"Added copyright header

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670870 13f79535-47bb-0310-9956-ffa450edef68",2008-01-10 20:04:53,Andrew Kornev,Not TDD
2474f37a0f2d5ceff68d6ca19d4d93fddb3995a1,"Added a mock for poll(); added a test for zk operations with concurrent disconnect.

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670874 13f79535-47bb-0310-9956-ffa450edef68",2008-01-16 18:37:44,Andrew Kornev,Not TDD
a6d0a388682ae93fdee7e6c30143c60ad82ebcbb,"Refactored utility classes; added unit tests; removed an SVN property (eol-style)

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670878 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 00:37:29,Andrew Kornev,Not TDD
911e7a8c6e6d1db1cd35ab7e809d4750a6a8b760,"Fixed gcc-2.95 compiler compatibility issues; updated README and ChangeLog

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670880 13f79535-47bb-0310-9956-ffa450edef68",2008-01-24 21:25:25,Andrew Kornev,Not TDD
1153591dea3c1ca8c19e6f353dd10551c68c11c1,"fixed session ids to always be in hex

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670886 13f79535-47bb-0310-9956-ffa450edef68",2008-01-30 18:43:29,,Not TDD
480cf1a3a180ac9a6125b8f82e8f04dfbc094554,"New tests

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670890 13f79535-47bb-0310-9956-ffa450edef68",2008-02-07 21:29:28,Andrew Kornev,Not TDD
ae6e4c603e4f9d3171bf40f110685b6c92c4c2c6,"Added a new return code to zookeeper_process() -- ZNOTHING -- that
indicates that the socket has no more data to read; updated the unit tests

git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670913 13f79535-47bb-0310-9956-ffa450edef68",2008-04-04 19:02:37,Andrew Kornev,Not TDD
edc4bf7ec225bba914037a89cf04c6601a8b9c33,"[ 1942451 ] build optimization: uptodate check on jute
[ 1943392 ] Test environment changes: unit/func/perf/coverage test



git-svn-id: https://svn.apache.org/repos/asf/hadoop/zookeeper/trunk@670925 13f79535-47bb-0310-9956-ffa450edef68",2008-04-17 22:37:55,Benjamin Reed,Not TDD
