Repository Name,Repository URL,Java Usage (%),Commit Count
xalan-j,https://github.com/apache/xalan-j,98.76,4561
directory-studio,https://github.com/apache/directory-studio,98.91,5818
maven-resources,https://github.com/apache/maven-resources,100.00,170
camel,https://github.com/apache/camel,99.03,73593
xmlgraphics-fop,https://github.com/apache/xmlgraphics-fop,98.07,8579
maven-scm,https://github.com/apache/maven-scm,98.10,2251
directory-samples,https://github.com/apache/directory-samples,99.61,26
maven-release,https://github.com/apache/maven-release,96.51,1191
synapse,https://github.com/apache/synapse,98.80,4355
maven-mercury,https://github.com/apache/maven-mercury,99.46,769
cayenne,https://github.com/apache/cayenne,99.79,7394
commons-collections,https://github.com/apache/commons-collections,99.37,4750
openjpa,https://github.com/apache/openjpa,99.15,5371
mina,https://github.com/apache/mina,99.65,2411
poi,https://github.com/apache/poi,99.70,13197
nutch,https://github.com/apache/nutch,96.68,3491
commons-codec,https://github.com/apache/commons-codec,99.80,2916
maven-shared,https://github.com/apache/maven-shared,98.65,3387
commons-lang,https://github.com/apache/commons-lang,97.94,8302
jsecurity,https://github.com/apache/jsecurity,100.00,1024
activemq,https://github.com/apache/activemq,97.03,11948
xmlgraphics-commons,https://github.com/apache/xmlgraphics-commons,98.84,649
struts1,https://github.com/apache/struts1,100.00,5272
commons-io,https://github.com/apache/commons-io,99.89,5354
httpcomponents-core,https://github.com/apache/httpcomponents-core,99.99,3929
maven-doxia-sitetools,https://github.com/apache/maven-doxia-sitetools,99.52,1061
struts-sandbox,https://github.com/apache/struts-sandbox,95.91,1878
httpcomponents-client,https://github.com/apache/httpcomponents-client,99.98,3720
jackrabbit,https://github.com/apache/jackrabbit,99.57,9341
sanselan,https://github.com/apache/sanselan,99.93,315
continuum,https://github.com/apache/continuum,98.11,4870
maven-ant-tasks,https://github.com/apache/maven-ant-tasks,99.40,518
maven-plugin-testing,https://github.com/apache/maven-plugin-testing,98.84,256
cassandra,https://github.com/apache/cassandra,97.39,30370
directory-server,https://github.com/apache/directory-server,98.76,10254
xmlgraphics-batik,https://github.com/apache/xmlgraphics-batik,99.22,3588
roller,https://github.com/apache/roller,96.70,4768
maven-artifact,https://github.com/apache/maven-artifact,100.00,610
maven-doxia,https://github.com/apache/maven-doxia,98.95,1981
abdera,https://github.com/apache/abdera,99.92,1500
maven,https://github.com/apache/maven,99.63,15164
commons-logging,https://github.com/apache/commons-logging,98.10,1758
commons-cli,https://github.com/apache/commons-cli,97.08,1841
servicemix4-nmr,https://github.com/apache/servicemix4-nmr,98.98,678
servicemix-archetypes,https://github.com/apache/servicemix-archetypes,96.27,186
servicemix4-bundles,https://github.com/apache/servicemix4-bundles,100.00,7583
servicemix4-kernel,https://github.com/apache/servicemix4-kernel,95.19,526
servicemix4-features,https://github.com/apache/servicemix4-features,100.00,1085
servicemix3,https://github.com/apache/servicemix3,98.11,2968
servicemix-utils,https://github.com/apache/servicemix-utils,99.45,134
servicemix-maven-plugins,https://github.com/apache/servicemix-maven-plugins,100.00,57
servicemix4-specs,https://github.com/apache/servicemix4-specs,99.92,254
